,gene_r,gene_pval,gene_sig
2-aminoadipate,0.22461705471423515,5.359358344171989e-12,True
3-phosphoglycerate,0.3530047835888119,2.0427554804484075e-28,True
alpha-glycerophosphate,0.4094396861411681,1.543317714016819e-38,True
4-pyridoxate,0.1446726311453946,1.0444128941660285e-05,True
aconitate,0.29303879381708614,1.0743262194072951e-19,True
adenine,0.07561439071131708,0.021738062953031163,False
adipate,0.11885190417785423,0.00030053695328598293,False
alpha-ketoglutarate,0.2184728332118362,2.0511988838184176e-11,True
AMP,0.4089445162060452,1.9324435594498408e-38,True
citrate,0.233558566967474,7.078681519278262e-13,True
isocitrate,0.23799343973114756,2.51291514703295e-13,True
CMP,0.4138770006372155,2.0231189456630643e-39,True
cystathionine,0.259270981010599,1.2982015159680688e-15,True
cytidine,0.3360996505253122,9.317554893875734e-26,True
dCMP,0.34335979492014657,7.035761537106426e-27,True
DHAP/glyceraldehyde 3P,0.32190808734676984,1.1954157418170817e-23,True
erythrose-4-phosphate,0.13324262122120134,4.986643042230392e-05,True
F1P/F6P/G1P/G6P,0.3349792559344138,1.3797610291822962e-25,True
hexoses (HILIC neg),0.38106857317738624,3.3502491228307956e-33,True
fumarate/maleate/alpha-ketoisovalerate,0.12264949822927138,0.0001905659446594946,True
glucuronate,0.22241017686644338,8.718769741706234e-12,True
glutathione oxidized,0.2649520206823045,2.924468148737939e-16,True
glutathione reduced,0.24224020306811936,9.138460934047423e-14,True
GMP,0.29524658450691815,5.549016393331802e-20,True
guanosine,0.2383427501911421,2.3139938599212613e-13,True
hippurate,0.3007232454340125,1.0509863920718562e-20,True
hypoxanthine,0.20056557366645195,8.200450151719329e-10,True
inosine,0.24446472434946837,5.3379901585373863e-14,True
kynurenine,0.03637526434975112,0.27012200729181063,False
lactate,0.30486603962815406,2.9146846065287523e-21,True
lactose,0.24574697719657182,3.9059496818183574e-14,True
malate,0.22246603225548658,8.61258677217209e-12,True
NAD,0.16111792083592555,8.87330937962389e-07,True
NADP,0.18125023422130454,3.041198475550119e-08,True
oxalate,0.45110795908235873,2.2873169154876486e-47,True
pantothenate,0.2257198893592572,4.1943559066478724e-12,True
PEP,0.22382295314410303,6.388756732677521e-12,True
ribose-5-P/ribulose5-P,0.3063658636572146,1.8227059787805328e-21,True
sorbitol,0.3502176519478263,5.753178760678813e-28,True
succinate/methylmalonate,0.13288556760261463,5.2259522775343314e-05,True
sucrose,0.05903707148741762,0.07332781927120241,False
thymine,0.11918738457650985,0.00028883457622971663,False
UMP,0.4360415171408839,4.953850540760039e-44,True
UDP-galactose/UDP-glucose,0.21515264093711897,4.167363303886711e-11,True
uracil,0.3677734094865831,7.098337205512396e-31,True
urate,0.26827429000687375,1.202858507036431e-16,True
uridine,0.1263163962492603,0.00012121927307542845,True
xanthine,0.4373835283398029,2.5385584466791794e-44,True
taurocholate,-0.005307483148451161,0.8722085593481125,False
glycodeoxycholate/glycochenodeoxycholate,0.2331975009961983,7.694288900357564e-13,True
taurodeoxycholate/taurochenodeoxycholate,0.05688409723402232,0.08446076463153082,False
phosphocreatine,0.4743894050095148,7.326317863264918e-53,True
3-methyladipate/pimelate,0.23962056922721847,1.709457990296225e-13,True
6-phosphogluconate,0.13446330528489453,4.24447453170228e-05,True
alpha-hydroxybutyrate,0.3904550312834596,6.557980091728604e-35,True
2-hydroxyglutarate,0.24446618680396692,5.3360943030212e-14,True
inositol,0.16451826216686252,5.16010967038177e-07,True
malondialdehyde,0.06510588903490012,0.04824035603154388,False
glycine,0.10292609480646842,0.0017619960436142633,False
alanine,0.2781305920192761,8.008001436001711e-18,True
serine,0.16496886765859206,4.798404389401703e-07,True
threonine,0.1618562785213564,7.895436274515988e-07,True
methionine,0.37948456077473064,6.425645113614034e-33,True
aspartate,0.2183166302761118,2.121304095409468e-11,True
glutamate,0.2575831165785032,2.007437637438709e-15,True
asparagine,0.09090474235133385,0.005766939105696366,False
glutamine,0.006849296659165099,0.8355549900581353,False
histidine,0.3745722186239684,4.73357747366603e-32,True
arginine,0.2699757702695152,7.594782324010906e-17,True
lysine,0.3748836310442557,4.1749435431808545e-32,True
valine,0.26855215682289113,1.1160898620661037e-16,True
leucine,0.4155556956403929,9.30490075404981e-40,True
