,hist_r,hist_pval,hist_sig
2-aminoadipate,0.1132294086371107,0.0006994005476095633,False
3-phosphoglycerate,0.19390748255879717,5.158522003661517e-09,True
alpha-glycerophosphate,0.2177251012891467,4.825016896081736e-11,True
4-pyridoxate,0.012570491298513845,0.7075608253398916,False
aconitate,0.14025536910692465,2.5969705181277722e-05,True
adenine,0.09791308715017145,0.0034017588380809154,False
adipate,0.1302093417416445,9.530912440289552e-05,True
alpha-ketoglutarate,0.12269822173434974,0.00023751078517061198,False
AMP,0.35326436487771773,1.2167108344359954e-27,True
citrate,0.12957035866246341,0.0001032093317755602,True
isocitrate,0.1057632628300398,0.001550890672687315,False
CMP,0.3225772907245522,4.521228536964624e-23,True
cystathionine,0.19185874090539762,7.511307062583695e-09,True
cytidine,0.23948867755751949,4.0933912272194353e-13,True
dCMP,0.23232794685444258,2.074862607577999e-12,True
DHAP/glyceraldehyde 3P,0.18028198708539817,5.816775615603673e-08,True
erythrose-4-phosphate,0.01704954424057785,0.6108807281336841,False
F1P/F6P/G1P/G6P,0.15938519550376992,1.6938930855742797e-06,True
hexoses (HILIC neg),0.31852492920533504,1.6628439981949999e-22,True
fumarate/maleate/alpha-ketoisovalerate,0.10041407390201335,0.002663878987776575,False
glucuronate,0.2565592225337503,6.875668449090504e-15,True
glutathione oxidized,0.10818330136385973,0.001204417715299568,False
glutathione reduced,0.05141520981675046,0.12470779406830615,False
GMP,0.24721977991044108,6.681993846547223e-14,True
guanosine,0.15187900565296256,5.1463856022051315e-06,True
hippurate,0.26618482668090887,5.982273997138545e-16,True
hypoxanthine,0.046433560683548154,0.16562990150688794,False
inosine,0.11955626844963746,0.0003428609787769434,False
kynurenine,0.03541370460723676,0.2904564729634834,False
lactate,0.20655975462792253,4.625158701790914e-10,True
lactose,0.27601337197306436,4.453486220535862e-17,True
malate,0.04002682917238143,0.23211459280924002,False
NAD,0.04879244460993175,0.14514528904983984,False
NADP,0.09603699918576991,0.004072304921029028,False
oxalate,0.24829109262918847,5.1721049345959065e-14,True
pantothenate,0.19889551069871222,2.031256248320018e-09,True
PEP,0.10975335917108295,0.0010194395251338449,False
ribose-5-P/ribulose5-P,0.1564498845274679,2.6321571453316073e-06,True
sorbitol,0.26229991361020816,1.622236615432967e-15,True
succinate/methylmalonate,0.06975142910913601,0.037159401562683304,False
sucrose,0.10670146929642806,0.0014069317170003677,False
thymine,0.0872927089367952,0.009056686512215814,False
UMP,0.34316553456301513,4.4272437849176254e-26,True
UDP-galactose/UDP-glucose,0.035977100146172225,0.28284541290692994,False
uracil,0.2082061327041091,3.3402811325251903e-10,True
urate,0.14776549693310934,9.255721934521696e-06,True
uridine,0.031172630051164607,0.35213486027679397,False
xanthine,0.31069118634505793,1.949362526164197e-21,True
taurocholate,-0.05407681445617908,0.10633204517184422,False
glycodeoxycholate/glycochenodeoxycholate,0.19332524221745587,5.742270169181724e-09,True
taurodeoxycholate/taurochenodeoxycholate,0.06455352606767341,0.053809190950746676,False
phosphocreatine,0.2728662521654859,1.0350876899170085e-16,True
3-methyladipate/pimelate,0.180290048126669,5.8087514876356845e-08,True
6-phosphogluconate,0.07116902377447461,0.03346418982475317,False
alpha-hydroxybutyrate,0.17874846097247954,7.555139387821741e-08,True
2-hydroxyglutarate,0.09933955525479041,0.002960884813107406,False
inositol,0.11209932063310056,0.0007914550872604836,False
malondialdehyde,0.12511962167955348,0.00017792002246973249,True
glycine,0.019210967018677742,0.5664198148075112,False
alanine,0.08037448474336079,0.016289554531471368,False
serine,0.06361844112848117,0.057383394202181866,False
threonine,0.1327932587272638,6.881187470436066e-05,True
methionine,0.2975432715651469,1.0310132330167664e-19,True
aspartate,0.007401359507819598,0.8251945626971647,False
glutamate,0.0435861022339082,0.1931618926465399,False
asparagine,0.08442840476336375,0.011604223910062694,False
glutamine,0.12811825640837632,0.00012351623990248042,True
histidine,0.3086230617397137,3.688261644143696e-21,True
arginine,0.23189797875967197,2.2833952283660344e-12,True
lysine,0.3141978764912029,6.535665252901819e-22,True
valine,0.2309955451028198,2.7900118297765423e-12,True
leucine,0.28357442590509074,5.611961576718929e-18,True
isoleucine,0.21366939438338656,1.1126058832525583e-10,True
phenylalanine,0.2927585402483252,4.156733572065169e-19,True
tyrosine,0.2602444557540039,2.7318726191211146e-15,True
tryptophan,0.21492774886416638,8.600671181476342e-11,True
proline,0.04975412652853095,0.13737292731466144,False
cis/trans-hydroxyproline,0.11445513681842953,0.0006108487857348754,False
ornithine,0.10626602842411367,0.0014721435362423227,False
citrulline,0.13328801377244645,6.460686946699177e-05,True
taurine,0.026009086069523714,0.4375866702372812,False
5-HIAA,0.12551710882246173,0.0001695954700663159,True
serotonin,-0.009561900274753102,0.7753794036653818,False
GABA,0.11621660800033655,0.0005017012817375903,False
acetylglycine,0.20925924399594178,2.7086794626698806e-10,True
dimethylglycine,0.2091206706144227,2.784598576405195e-10,True
homocysteine,0.018582129827804175,0.5791943936990749,False
SDMA/ADMA,0.22761482900621346,5.8665713937842584e-12,True
NMMA,0.2443115151635277,1.3311509047687657e-13,True
allantoin,0.24674032872330595,7.490634355918827e-14,True
anthranilic acid,0.16128434019493307,1.2681765804763581e-06,True
