,methyl_r,methyl_pval,methyl_sig
2-aminoadipate,0.30988220951878814,6.910745079636869e-20,True
3-phosphoglycerate,0.36601008216699343,1.199422397004075e-27,True
alpha-glycerophosphate,0.48016518642228845,5.632424675730241e-49,True
4-pyridoxate,0.17616349115356522,3.371652052376885e-07,True
aconitate,0.36246159134576394,4.1466956639665255e-27,True
adenine,0.25453389899380696,1.0381486417377444e-13,True
adipate,0.21617160310918324,3.2700633160685906e-10,True
alpha-ketoglutarate,0.3183062649858898,5.957441200660312e-21,True
AMP,0.5450015084630522,3.100554298456264e-65,True
citrate,0.2560034234931704,7.411360519731032e-14,True
isocitrate,0.2953376959706575,3.962999333484737e-18,True
CMP,0.5375256698262607,3.551984185541187e-63,True
cystathionine,0.38025105105494444,7.047145482113662e-30,True
cytidine,0.5014546955771418,6.210170758216269e-54,True
dCMP,0.5051188335370256,8.017259117965012e-55,True
DHAP/glyceraldehyde 3P,0.423365410056568,2.4316166800678647e-37,True
erythrose-4-phosphate,0.10619741237958745,0.0022143341384074076,False
F1P/F6P/G1P/G6P,0.39043784323484937,1.5238169214420029e-31,True
hexoses (HILIC neg),0.5009307529986942,8.30527712074345e-54,True
fumarate/maleate/alpha-ketoisovalerate,0.13989254481650915,5.363314313693147e-05,True
glucuronate,0.3564072657146073,3.321629886811271e-26,True
glutathione oxidized,0.3379015433883347,1.4613345444790243e-23,True
glutathione reduced,0.3244942740775512,9.359225864111226e-22,True
GMP,0.38257355742892923,2.9753648359011326e-30,True
guanosine,0.3427129195534794,3.1220165125036715e-24,True
hippurate,0.40936142033583195,8.526966927239967e-35,True
hypoxanthine,0.24515147971960402,8.489859537329974e-13,True
inosine,0.2817181482752438,1.4312848644542493e-16,True
kynurenine,0.045669210786222936,0.18923997146540805,False
lactate,0.3918363472350282,8.907066720095755e-32,True
lactose,0.4043100356416642,6.600182647603178e-34,True
malate,0.024108749326466932,0.4884465773350209,False
NAD,0.22437061173272235,6.579605713170049e-11,True
NADP,0.32769652435040747,3.53097921156759e-22,True
oxalate,0.5818834724558681,3.406646172023915e-76,True
pantothenate,0.36746928520157995,7.169182145446186e-28,True
PEP,0.22329989705387165,8.141334661439087e-11,True
ribose-5-P/ribulose5-P,0.3871421339276413,5.346419088668768e-31,True
sorbitol,0.46688469287555817,4.6872862537429055e-46,True
succinate/methylmalonate,0.2557266235080861,7.898376744682941e-14,True
sucrose,0.12417015181353072,0.00034167165150077205,False
thymine,0.10850369519639075,0.001767733719309253,False
UMP,0.5424077686356238,1.6281486682357537e-64,True
UDP-galactose/UDP-glucose,0.16660682363401724,1.4312874120421096e-06,True
uracil,0.47641198172871735,3.8818263587523434e-48,True
urate,0.35270651086376015,1.159254464017956e-25,True
uridine,0.13819619630465071,6.614438670469719e-05,True
xanthine,0.6042871475388903,1.4477100884059434e-83,True
taurocholate,0.041895439223623175,0.2284936067967837,False
glycodeoxycholate/glycochenodeoxycholate,0.3554076455191748,4.66321066631411e-26,True
taurodeoxycholate/taurochenodeoxycholate,0.21998491194701783,1.56348360397868e-10,True
phosphocreatine,0.676928967484763,4.751131911225749e-112,True
3-methyladipate/pimelate,0.34234722173092536,3.513966902569465e-24,True
6-phosphogluconate,0.25440500866367877,1.0691837584028161e-13,True
alpha-hydroxybutyrate,0.48430576556068616,6.51129445324923e-50,True
2-hydroxyglutarate,0.27959036510691393,2.462988734715666e-16,True
inositol,0.2707291227568553,2.2458096168934127e-15,True
malondialdehyde,0.22745651203086317,3.539849897081632e-11,True
glycine,0.13181125914185568,0.00014252456497558112,True
alanine,0.29403783113968285,5.628197805519048e-18,True
serine,0.2939586588609361,5.749408359288703e-18,True
threonine,0.3108047456369766,5.304125206987564e-20,True
methionine,0.5154671705377942,2.1571623539859224e-57,True
aspartate,0.16200010330162123,2.792877853176203e-06,True
glutamate,0.3705837749495659,2.3690345358273245e-28,True
asparagine,0.09836228392824979,0.004611767786526907,False
glutamine,0.21981607250092186,1.6158735389396557e-10,True
histidine,0.5075388906670488,2.045794515357743e-55,True
arginine,0.31790762796036937,6.70197872667647e-21,True
lysine,0.5438739805120467,6.387273107042869e-65,True
valine,0.436702125967786,7.050774929174176e-40,True
leucine,0.5532285322771044,1.4612311905323356e-67,True
isoleucine,0.4273777727905169,4.3085945291855985e-38,True
phenylalanine,0.5215479560916481,6.051571544836664e-59,True
tyrosine,0.4870701717457682,1.5166528028719786e-50,True
tryptophan,0.3984764064521392,6.715924009497857e-33,True
proline,0.12081959730766775,0.0004937930747996095,False
cis/trans-hydroxyproline,0.16594818299926178,1.5766138257587848e-06,True
ornithine,0.11896372684155479,0.0006031441327679653,False
citrulline,0.3116429388996586,4.1673102953224936e-20,True
taurine,0.2504071794554214,2.6442750674524343e-13,True
5-HIAA,0.17147043076543644,6.926574060341975e-07,True
serotonin,0.06812202764762977,0.05005122311942699,False
GABA,0.36669883626100724,9.410673676066797e-28,True
acetylglycine,0.4436461067290481,3.030203446327939e-41,True
dimethylglycine,0.417123727347583,3.4280780901047035e-36,True
homocysteine,0.19945797860762543,7.0808476745908604e-09,True
SDMA/ADMA,0.4752117455698928,7.160423741825505e-48,True
NMMA,0.5294221596665029,5.3062195646247716e-61,True
allantoin,0.4566136479368694,6.965167192727488e-44,True
anthranilic acid,0.2156404137015488,3.620162204684974e-10,True
kynurenic acid,0.5718083122714794,4.61968135956898e-73,True
5-adenosylhomocysteine,0.32679726932171743,4.648251183041015e-22,True
carnosine,0.5293156285009015,5.662110759034464e-61,True
N-carbamoyl-beta-alanine,0.5146707417684272,3.426421038510585e-57,True
thiamine,0.4725819502261195,2.715618249478799e-47,True
niacinamide,0.233379555867069,1.05012997006578e-11,True
betaine,0.3023703778861413,5.756466872095474e-19,True
choline,0.22904190273865066,2.5653683123857026e-11,True
alpha-glycerophosphocholine,0.21652872087571143,3.053481096949751e-10,True
acetylcholine,0.18036324344309526,1.7413799806173532e-07,True
creatine,0.4796134326632271,7.491910950526535e-49,True
creatinine,0.5602075017052764,1.3787775673540323e-69,True
thyroxine,0.41041942406490994,5.529762917349668e-35,True
trimethylamine-N-oxide,0.41269942936029824,2.1630952714589332e-35,True
hexoses (HILIC pos),0.4407864669153937,1.1172850012173533e-40,True
adenosine,0.25247710761889547,1.6578697144345569e-13,True
thymidine,0.3531373819586062,1.0031086305971048e-25,True
xanthosine,0.4051500145966753,4.707849215980181e-34,True
2-deoxyadenosine,0.3263980917257068,5.250014721847614e-22,True
2-deoxycytidine,0.43858099728546945,3.030702279388035e-40,True
cAMP,0.22955850137881528,2.3086617846975413e-11,True
cotinine,0.316101239933306,1.1402227895279902e-20,True
pipecolic acid,0.06509269178214562,0.06117925948895469,False
pyroglutamic acid,0.4785317021753868,1.3087039258101196e-48,True
1-methylnicotinamide,0.7089612007105239,2.1003708407402745e-127,True
butyrobetaine,0.2943663855516456,5.15153110242292e-18,True
putrescine,0.23836269758295406,3.680837914151985e-12,True
methionine sulfoxide,0.4541991936939416,2.2022215571517005e-43,True
carnitine,0.42368047963059446,2.124442671091567e-37,True
acetylcarnitine,0.31201108522746174,3.7474722777393685e-20,True
propionylcarnitine,0.2567169110121653,6.287818067848438e-14,True
malonylcarnitine,0.3925994868004824,6.637562872566914e-32,True
butyrylcarnitine/isobutyrylcarnitine,0.2547790607020084,9.815369217691715e-14,True
valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,0.24498560919471196,8.804353832941564e-13,True
hexanoylcarnitine,0.2802952223952962,2.058721578370296e-16,True
heptanoylcarnitine,0.22221034750948362,1.0100351095907139e-10,True
lauroylcarnitine,0.30705886046897574,1.544124959212662e-19,True
myristoylcarnitine,0.36156523439120863,5.65873107055115e-27,True
palmitoylcarnitine,0.31342341993669215,2.4900821767136767e-20,True
stearoylcarnitine,0.267136976582587,5.377253235595033e-15,True
oleylcarnitine,0.28532807487620143,5.63767727891034e-17,True
arachidonyl_carnitine,0.4883011194388408,7.89314555801617e-51,True
sarcosine,0.2064009238885721,2.0363841125092043e-09,True
