,miRNA_r,miRNA_pval,miRNA_sig
2-aminoadipate,0.2332979292548266,8.669772061104541e-13,True
3-phosphoglycerate,0.3697035624120025,4.796194114413088e-31,True
alpha-glycerophosphate,0.45280037174730975,1.67635273049053e-47,True
4-pyridoxate,0.1591794795670676,1.2855750907232106e-06,True
aconitate,0.3472296899508685,2.3860014464406375e-27,True
adenine,0.24489882815826314,5.621329665355488e-14,True
adipate,0.20007732625522087,1.0023036344682816e-09,True
alpha-ketoglutarate,0.2995079668168438,1.9341752170028808e-20,True
AMP,0.5629151962265746,1.0886830877819061e-77,True
citrate,0.2752731881491061,2.1693310289097495e-17,True
isocitrate,0.32220619617531204,1.4273913322505355e-23,True
CMP,0.5548074129202419,4.557796767438198e-75,True
cystathionine,0.37440372222886176,7.410059127016773e-32,True
cytidine,0.46895246180782135,2.864541178746357e-51,True
dCMP,0.48463547148544706,3.990274366548468e-55,True
DHAP/glyceraldehyde 3P,0.3901995182669704,1.1079452274312306e-34,True
erythrose-4-phosphate,0.06022321508550129,0.06847772351591895,False
F1P/F6P/G1P/G6P,0.3500835651001217,8.405227189201346e-28,True
hexoses (HILIC neg),0.530227754193549,1.5195993724960905e-67,True
fumarate/maleate/alpha-ketoisovalerate,0.14294073688026415,1.4081787178382424e-05,True
glucuronate,0.3529744695485655,2.889154308842111e-28,True
glutathione oxidized,0.3207682058554746,2.296702487404299e-23,True
glutathione reduced,0.30429689596147785,4.449446499215222e-21,True
GMP,0.38804053034626834,2.753424855543708e-34,True
guanosine,0.31162222577955107,4.455436681347375e-22,True
hippurate,0.43548172673341434,1.1095780462424792e-43,True
hypoxanthine,0.2263742824998054,4.144713285998337e-12,True
inosine,0.29796311811837173,3.0890917015233244e-20,True
kynurenine,0.08320981539763818,0.01175826542701719,False
lactate,0.444075613535108,1.502340763394409e-45,True
lactose,0.37896277869149686,1.1755422803303841e-32,True
malate,0.12402533051713885,0.00016781999914990643,True
NAD,0.21420522633582542,5.740203273015201e-11,True
NADP,0.2958062399145578,5.911027891246188e-20,True
oxalate,0.5749240379672719,1.0414463451313972e-81,True
pantothenate,0.31511493006061375,1.4533927717776117e-22,True
PEP,0.1861779286843042,1.3725692365269548e-08,True
ribose-5-P/ribulose5-P,0.3583170249128519,3.8986887238523353e-29,True
sorbitol,0.5039745834240771,3.645534977631364e-60,True
succinate/methylmalonate,0.31333170513089426,2.5797843825090354e-22,True
sucrose,0.12006137521486446,0.0002705953716393869,False
thymine,0.11847164559291759,0.0003264305387809099,False
UMP,0.5671430223740943,4.3722800933659125e-79,True
UDP-galactose/UDP-glucose,0.21975903510964248,1.7631497437168097e-11,True
uracil,0.46223569484891375,1.1174584455874426e-49,True
urate,0.3563956606628637,8.047544271107167e-29,True
uridine,0.06006706992499528,0.06919905302396774,False
