,phos_r,phos_pval,phos_sig
2-aminoadipate,0.07100693095592849,0.2232169840165128,False
3-phosphoglycerate,0.23391267672362137,4.826429639087969e-05,True
alpha-glycerophosphate,0.27197729824074746,2.041188135586834e-06,True
4-pyridoxate,0.11324077881629535,0.0516199948335642,False
aconitate,0.27496381843346857,1.5587931797201306e-06,True
adenine,0.28223968787548553,7.973947580342606e-07,True
adipate,0.07752577865772978,0.18346455010660723,False
alpha-ketoglutarate,0.2950106352634684,2.3461166288542662e-07,True
AMP,0.46391719890617367,3.34021099480533e-17,True
citrate,0.18851826510814376,0.0011183063717998224,False
isocitrate,0.14752976787317792,0.01104159883735405,False
CMP,0.49078962167866624,2.3883293445230584e-19,True
cystathionine,0.19521965949668693,0.000732745780539125,False
cytidine,0.3977438319284915,1.1641448701932354e-12,True
dCMP,0.40676824851792276,3.188895271835549e-13,True
DHAP/glyceraldehyde 3P,0.43568758880228614,3.831448370659973e-15,True
erythrose-4-phosphate,0.04424042754877792,0.4482762529305182,False
F1P/F6P/G1P/G6P,0.3110266154996627,4.63966839530769e-08,True
hexoses (HILIC neg),0.46858897618433476,1.459379155147627e-17,True
fumarate/maleate/alpha-ketoisovalerate,0.09527930564580493,0.1018322324757796,False
glucuronate,0.28379996969912047,6.889018156939156e-07,True
glutathione oxidized,0.19207773715915588,0.0008949333244814624,False
glutathione reduced,0.17375543611655042,0.0027033248017534887,False
GMP,0.3333924416606267,4.0846584503982454e-09,True
guanosine,0.10944716565778659,0.06001460152410113,False
hippurate,0.3052603227778667,8.409849694696175e-08,True
hypoxanthine,0.10402238359815696,0.07394605377070396,False
inosine,-0.013264315661203955,0.8202275461273301,False
kynurenine,0.08375076432010717,0.15062362341949923,False
lactate,0.2869732469986201,5.102525223441345e-07,True
lactose,0.44271527812343053,1.2255750116398338e-15,True
malate,0.028686557415701697,0.6230338929234248,False
NAD,0.17070329169654466,0.0032179011034688776,False
NADP,0.14189489860897214,0.014553727940487418,False
oxalate,0.5093576592756673,6.042107520100323e-21,True
pantothenate,0.19978251949452558,0.0005450790510375108,False
PEP,0.027004126178419345,0.6435685588608607,False
ribose-5-P/ribulose5-P,0.277562586298908,1.2296004234002982e-06,True
sorbitol,0.29616091997884403,2.0950894171596267e-07,True
succinate/methylmalonate,0.1143611162861855,0.04933657203191374,False
sucrose,0.13110081539704282,0.024086639440170893,False
thymine,0.020066789541982853,0.7309847142713561,False
UMP,0.5233651539923532,3.2380789390219747e-22,True
UDP-galactose/UDP-glucose,0.1957851531124207,0.0007066139150218567,False
uracil,0.3304853470070787,5.665270326483541e-09,True
urate,0.25240748860084533,1.1047434301455313e-05,True
uridine,0.1514600271851761,0.009057811179442238,False
xanthine,0.5164896374847583,1.3849714899645293e-21,True
taurocholate,-0.09857833316828346,0.0904639538540935,False
glycodeoxycholate/glycochenodeoxycholate,0.2370346532090772,3.793585420799688e-05,True
taurodeoxycholate/taurochenodeoxycholate,0.15632244149510774,0.007045644338530386,False
phosphocreatine,0.6464081501697666,2.0687746312274615e-36,True
3-methyladipate/pimelate,0.2523642605569431,1.1087080031879265e-05,True
6-phosphogluconate,0.13517319648837434,0.019994299131740428,False
alpha-hydroxybutyrate,0.47624968121799405,3.65141733352418e-18,True
2-hydroxyglutarate,0.24967753366364917,1.3834489830579333e-05,True
inositol,0.10991985632414579,0.05891082102186345,False
malondialdehyde,0.15106774327653472,0.009240492447903762,False
glycine,0.14149294953264038,0.01483813067538036,False
alanine,0.22206472277382766,0.00011687436394999878,True
serine,0.13546987967346144,0.019721292550030533,False
threonine,0.14997830542980647,0.009765100393633678,False
methionine,0.3837750424942718,8.007656184249907e-12,True
aspartate,0.1770558333664437,0.0022320167391393316,False
glutamate,0.27728539268127456,1.2612563060563472e-06,True
asparagine,0.04980589827319072,0.3932172518382887,False
glutamine,0.16503808334265485,0.004413942802846686,False
histidine,0.4761858571134473,3.694341827587701e-18,True
arginine,0.27337659632768213,1.7996691573008438e-06,True
lysine,0.5449838061602345,2.6876483931858688e-24,True
valine,0.3728710581254338,3.3900903786790034e-11,True
leucine,0.49908655474782787,4.74838732814354e-20,True
isoleucine,0.38348969187871385,8.321552675464265e-12,True
phenylalanine,0.4845120799813556,7.877009110567143e-19,True
tyrosine,0.45077954240564455,3.2065085805488066e-16,True
