,prot_r,prot_pval,prot_sig
2-aminoadipate,0.2398063001398427,2.8076489794896248e-06,True
3-phosphoglycerate,0.3232455943281961,1.6115193592152092e-10,True
alpha-glycerophosphate,0.5210880371631897,2.366145075400312e-27,True
4-pyridoxate,0.03986795374710099,0.44266602966028795,False
aconitate,0.2569336070131105,4.898369420783966e-07,True
adenine,0.1769531080436672,0.0005965179118471442,False
adipate,0.040402970235967874,0.4365633139068299,False
alpha-ketoglutarate,0.2906704813615753,1.0722802646368553e-08,True
AMP,0.6515824904697608,1.9119293875244056e-46,True
citrate,0.12326492248636872,0.017231040952926453,False
isocitrate,0.19133251096707696,0.00020141071678083592,True
CMP,0.5516113732635326,4.414368003572796e-31,True
cystathionine,0.3620186593081193,5.415781004127392e-13,True
cytidine,0.5332080256046411,8.680976694709391e-29,True
dCMP,0.3797037079331948,3.0780722682536855e-14,True
DHAP/glyceraldehyde 3P,0.38704430079409924,8.885401287974101e-15,True
erythrose-4-phosphate,0.1290083783445148,0.012644369664731892,False
F1P/F6P/G1P/G6P,0.31958662970407453,2.6501441082566465e-10,True
hexoses (HILIC neg),0.48975249264435244,6.751395274067015e-24,True
fumarate/maleate/alpha-ketoisovalerate,0.13603858570322763,0.0085193228132767,False
glucuronate,0.36485027568424316,3.462230809927199e-13,True
glutathione oxidized,0.33993339949720264,1.5294466732181965e-11,True
glutathione reduced,0.3220957069656128,1.8855646473125123e-10,True
GMP,0.44224718395582324,2.712964573087107e-19,True
guanosine,0.4693526566594082,7.849208515777845e-22,True
hippurate,0.38089286640853254,2.52221354772293e-14,True
hypoxanthine,0.08552747367737204,0.09908843703474218,False
inosine,0.2069539231094284,5.644229544715475e-05,True
kynurenine,0.1025999394741016,0.04769100487143384,False
lactate,0.3670408690572709,2.4418454316792655e-13,True
lactose,0.3657386174771366,3.006091274110398e-13,True
malate,0.09986094808579045,0.05398197251267993,False
NAD,0.14947082507348702,0.0038116516137271864,False
NADP,0.4027317872268451,5.614923416022358e-16,True
oxalate,0.4775252884582847,1.2132329862066946e-22,True
pantothenate,0.49148005792790234,4.4467350890773954e-24,True
