,splice_r,splice_pval,splice_sig
2-aminoadipate,0.19039497531206295,8.580030715661033e-09,True
3-phosphoglycerate,0.34364315745971946,2.403810218107605e-26,True
alpha-glycerophosphate,0.4073207382780878,2.737833355520007e-37,True
4-pyridoxate,0.20561166844829964,4.772099677177838e-10,True
aconitate,0.346672680079632,8.207216086354926e-27,True
adenine,0.2793886226043893,1.3346405468788185e-17,True
adipate,0.18380831126406544,2.792503957332593e-08,True
alpha-ketoglutarate,0.2786108177239997,1.6531741141601398e-17,True
AMP,0.5321773157799321,5.863522380003498e-67,True
citrate,0.2774365087389474,2.280858449148317e-17,True
isocitrate,0.2813143156398376,7.83344046323826e-18,True
CMP,0.5088130151456516,1.969665451773584e-60,True
cystathionine,0.33510984467334715,4.656911380704118e-25,True
cytidine,0.4699105232605825,1.252783839261259e-50,True
dCMP,0.5118218463376417,3.0350434992930678e-61,True
DHAP/glyceraldehyde 3P,0.40030676372749946,5.816937246957372e-36,True
erythrose-4-phosphate,0.09102838391245194,0.006281151737142952,False
F1P/F6P/G1P/G6P,0.32234120734511135,3.311450225195456e-23,True
hexoses (HILIC neg),0.47238143907187885,3.25134698152433e-51,True
fumarate/maleate/alpha-ketoisovalerate,0.11269046277979064,0.0007071061417438188,False
glucuronate,0.33229230190202375,1.2143004453551608e-24,True
glutathione oxidized,0.3600681946111764,6.143158824629719e-29,True
glutathione reduced,0.32492133481436397,1.421923743049727e-23,True
GMP,0.4029699492529456,1.8384903228234144e-36,True
guanosine,0.3506687958103669,1.953015828438916e-27,True
hippurate,0.4261267504259699,5.234412885407632e-41,True
hypoxanthine,0.25138115001976635,1.9452791304465837e-14,True
inosine,0.21408639274576627,8.638217658758637e-11,True
kynurenine,0.09782078142916575,0.0033077124064169847,False
lactate,0.42120857182871135,5.179091523247314e-40,True
lactose,0.40984940135197273,8.934539980674804e-38,True
malate,0.08528216133574193,0.010480070327136347,False
NAD,0.21911466198913399,3.0276527704804905e-11,True
NADP,0.2643734992600858,7.378495287852823e-16,True
oxalate,0.6103929674771501,5.528377656040925e-93,True
pantothenate,0.26090377499678247,1.7999606633890818e-15,True
PEP,0.1875127397463365,1.4454814142492754e-08,True
ribose-5-P/ribulose5-P,0.35019309310890906,2.319525620445517e-27,True
sorbitol,0.4909732042528263,8.853680667374446e-56,True
succinate/methylmalonate,0.26980587247282883,1.7785290683195422e-16,True
sucrose,0.1418041143302563,1.9564380358692033e-05,True
thymine,0.09996610367323044,0.0026791397287534656,False
UMP,0.5520959932650854,6.117240081908206e-73,True
UDP-galactose/UDP-glucose,0.1356962292410725,4.424154449594317e-05,True
uracil,0.47037974248687925,9.705114121927627e-51,True
urate,0.2990609074784496,4.7286615778230606e-20,True
uridine,0.09304909547019903,0.005211585212886483,False
xanthine,0.6047274890785321,7.491132658543258e-91,True
taurocholate,0.11914160768414277,0.00034091299075467,False
glycodeoxycholate/glycochenodeoxycholate,0.3256428963568436,1.120893596303126e-23,True
taurodeoxycholate/taurochenodeoxycholate,0.09269398385436135,0.005386738962069821,False
phosphocreatine,0.6068481081264502,1.2066461859398185e-91,True
3-methyladipate/pimelate,0.3659410314355805,6.665946096157793e-30,True
6-phosphogluconate,0.22118841357667696,1.9501454630162385e-11,True
alpha-hydroxybutyrate,0.49030378962315785,1.3074123447614976e-55,True
2-hydroxyglutarate,0.21204787501619307,1.311727421583227e-10,True
inositol,0.218100447352059,3.748382572959467e-11,True
malondialdehyde,0.1870154604778846,1.5802987754175943e-08,True
glycine,0.04730407738744919,0.15620715161954307,False
alanine,0.3029039113075004,1.4903350546035693e-20,True
serine,0.14518968074885016,1.226477488598164e-05,True
threonine,0.27574442750733275,3.616818556197966e-17,True
methionine,0.47866738665707725,9.999491014669631e-53,True
aspartate,0.11463102620336649,0.0005699724763861605,False
glutamate,0.36123458856075663,3.966655369790088e-29,True
asparagine,0.13158088337215226,7.521188848192559e-05,True
glutamine,0.12672900060954093,0.00013786624652351669,True
histidine,0.4912638410345,7.473216784282815e-56,True
arginine,0.31761238401599795,1.5266070483413175e-22,True
lysine,0.5044249877609251,2.9138969619343743e-59,True
valine,0.3842227693408299,4.904017870629261e-33,True
leucine,0.5168972230834221,1.2403037532660775e-62,True
isoleucine,0.3999094117299832,6.901455246372935e-36,True
phenylalanine,0.4700823331574443,1.141032023374008e-50,True
tyrosine,0.46433671649061986,2.5226147078123104e-49,True
tryptophan,0.34110011086738573,5.87100588859696e-26,True
proline,0.20454572388748565,5.886505708208162e-10,True
cis/trans-hydroxyproline,0.2064912429704894,4.00983305853672e-10,True
ornithine,0.16135338117530804,1.1399990986344874e-06,True
citrulline,0.3460383695863511,1.0288159525602872e-26,True
taurine,0.20526277487460304,5.112077104274185e-10,True
5-HIAA,0.15060953909009256,5.681310561009711e-06,True
serotonin,0.046137863375287316,0.16668057840081046,False
GABA,0.3723866132290753,5.520432337485163e-31,True
acetylglycine,0.42004625340598906,8.853112389370222e-40,True
dimethylglycine,0.41227310222763464,3.026850202333935e-38,True
homocysteine,0.13590146224539223,4.306880311417465e-05,True
SDMA/ADMA,0.4698725991206221,1.2788806278800873e-50,True
NMMA,0.5405457459076355,2.013096933566265e-69,True
allantoin,0.4587446474524213,4.854029056189295e-48,True
anthranilic acid,0.1950022394059758,3.664823287309602e-09,True
kynurenic acid,0.5826448216764522,6.1535295799220864e-83,True
5-adenosylhomocysteine,0.32257405099569114,3.069242669006586e-23,True
carnosine,0.48571442024443046,1.8491401059655383e-54,True
N-carbamoyl-beta-alanine,0.4462913706448933,2.8959794337910924e-45,True
thiamine,0.41693474590511154,3.680758652591999e-39,True
niacinamide,0.099071523701409,0.0029266622790288807,False
betaine,0.33675010026726004,2.6533210900041206e-25,True
choline,0.1877454333028608,1.3862931057949456e-08,True
alpha-glycerophosphocholine,0.17063230073130084,2.6095171665662317e-07,True
acetylcholine,0.1968367885115082,2.5967192213521764e-09,True
creatine,0.43380307214191655,1.3552855677916669e-42,True
creatinine,0.5493864805560784,4.2074666552139213e-72,True
thyroxine,0.39687205582487206,2.530209740736237e-35,True
trimethylamine-N-oxide,0.42385513838805466,1.5158795620430008e-40,True
hexoses (HILIC pos),0.35944617286294445,7.751340393105465e-29,True
adenosine,0.23604827672489317,7.325886690926053e-13,True
thymidine,0.2212582086191956,1.9213394854136747e-11,True
xanthosine,0.35478210448561115,4.360029993838265e-28,True
2-deoxyadenosine,0.22441341958273128,9.753765492310654e-12,True
2-deoxycytidine,0.3801824894687618,2.513838946049903e-32,True
cAMP,0.2283285126480732,4.146177632649605e-12,True
cotinine,0.31973982965633047,7.70188700925292e-23,True
pipecolic acid,0.13666318798197705,3.896847490602745e-05,True
pyroglutamic acid,0.4326275524760849,2.386095650330937e-42,True
1-methylnicotinamide,0.7028130289449495,5.783357385611238e-135,True
butyrobetaine,0.31198609997481924,9.079347240648594e-22,True
putrescine,0.2852578101751621,2.5963809001116892e-18,True
methionine sulfoxide,0.4365144736434766,3.6451075446506766e-43,True
carnitine,0.4123233152949345,2.9594507441821847e-38,True
acetylcarnitine,0.36848903938013183,2.506758645943295e-30,True
propionylcarnitine,0.18771599593433183,1.3936488940069292e-08,True
malonylcarnitine,0.38804655791831155,1.022305986364998e-33,True
butyrylcarnitine/isobutyrylcarnitine,0.22218670808944527,1.5755079879203063e-11,True
valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,0.17631751694118597,1.0154500941510498e-07,True
hexanoylcarnitine,0.300864790386184,2.756107494776028e-20,True
heptanoylcarnitine,0.22583209244962618,7.167038430828156e-12,True
lauroylcarnitine,0.2561020233794848,6.051164958552673e-15,True
myristoylcarnitine,0.2714719959343238,1.1421103410611875e-16,True
palmitoylcarnitine,0.2657008412325499,5.227482156939725e-16,True
stearoylcarnitine,0.2198659692587744,2.58293927350364e-11,True
oleylcarnitine,0.11658702169293295,0.00045710853205555,False
arachidonyl_carnitine,0.5006568506897595,2.8559495509116037e-58,True
sarcosine,0.23317088085375426,1.407985460236942e-12,True
beta-alanine,0.22796042234761676,4.496459052264567e-12,True
anserine,0.3433770434668714,2.64028478466887e-26,True
C14:0 LPC,0.3249406946607722,1.4128889747135845e-23,True
C16:1 LPC,0.21500571088338993,7.145148536522621e-11,True
C16:0 LPC,0.2506628676888518,2.318628112583942e-14,True
C18:2 LPC,0.17846233800419445,7.055444643811109e-08,True
C18:1 LPC,0.38757083700575023,1.2439199132179626e-33,True
C18:0 LPC,0.19071317797217974,8.095883042386377e-09,True
C20:4 LPC,0.24580147706239763,7.498770584114767e-14,True
C20:3 LPC,0.23737010740405404,5.410710850350934e-13,True
C22:6 LPC,0.28645372329798635,1.8510176679606713e-18,True
C16:0 LPE,0.3095432183861934,1.9458709452457564e-21,True
C18:1 LPE,0.31102858172970255,1.2251442456368605e-21,True
C18:0 LPE,0.24677580674242408,5.938827864628853e-14,True
C20:4 LPE,0.3065918763047188,4.8412120861552655e-21,True
C22:6 LPE,0.2815854499521322,7.264805842167927e-18,True
C32:2 PC,0.2027209125587251,8.409159672721528e-10,True
C32:1 PC,0.27430128672214,5.3456070282556845e-17,True
C32:0 PC,0.3240778450207317,1.8762579256098246e-23,True
C34:4 PC,0.19211904096479146,6.256089763822031e-09,True
C34:3 PC,-0.033091510421708985,0.3213745346281688,False
C34:2 PC,0.127731920122528,0.0001218463586216606,True
C34:1 PC,0.3920493220644742,1.936583946913018e-34,True
C36:4 PC-A,0.3501958831984884,2.317188986062283e-27,True
C36:4 PC-B,0.4908305338687518,9.621335196790279e-56,True
C36:3 PC,0.30679652698319604,4.546226979257927e-21,True
C36:2 PC,0.18832385672938792,1.2491668172012053e-08,True
C36:1 PC,0.29299643474944526,2.8237336447779223e-19,True
C38:6 PC,0.42012001675369814,8.557489369647187e-40,True
C38:5 PC,0.5025260336502423,9.237980609682708e-59,True
C38:4 PC,0.5273647675343605,1.4267401757833824e-65,True
C38:2 PC,0.10626619862826332,0.001409985117257782,False
C40:6 PC,0.4444399600908209,7.32354461652668e-45,True
C14:0 SM,0.20365144223827342,7.013694205386508e-10,True
C16:1 SM,0.31937873601148875,8.653621305158175e-23,True
C16:0 SM,0.3119120539885551,9.292551152773886e-22,True
C18:2 SM,0.34975451865782836,2.7173742523342823e-27,True
C18:1 SM,0.3051509368988825,7.526326511484511e-21,True
C18:0 SM,0.2352871979755994,8.715156120384154e-13,True
C22:1 SM,0.34319855412558553,2.811649145597963e-26,True
C22:0 SM,0.1562183687559192,2.4896269800437373e-06,True
C24:1 SM,0.3284966305814637,4.347441332801897e-24,True
C24:0 SM,0.25049811253579785,2.413719365065723e-14,True
C34:2 DAG,0.29956470520035217,4.068446646282855e-20,True
C34:1 DAG,0.2990800493920464,4.701745701891374e-20,True
C36:2 DAG,0.23396150388684234,1.1776318844752677e-12,True
C36:1 DAG,0.34640867244987156,9.017186907013957e-27,True
C14:0 CE,0.30325748651767864,1.338963894228079e-20,True
C16:1 CE,0.5424841581589744,5.285663039875374e-70,True
C16:0 CE,0.546311177301112,3.675341661418477e-71,True
C18:3 CE,0.49821697820997224,1.2331813455227193e-57,True
C18:2 CE,0.5637781558826503,1.2198568870384735e-76,True
C18:1 CE,0.5883635129728816,6.278547718199539e-85,True
C18:0 CE,0.3928271722360611,1.3978664608021948e-34,True
C20:5 CE,0.5938536284445571,7.054157814107225e-87,True
C20:4 CE,0.6071349586366837,9.415803212003065e-92,True
C20:3 CE,0.5334553788302465,2.4903606769356373e-67,True
C22:6 CE,0.5542554937360246,1.2988700585013439e-73,True
C46:2 TAG,0.3839579699221501,5.462314730243182e-33,True
C46:1 TAG,0.4411296885869581,3.792912605261946e-44,True
C46:0 TAG,0.37005444858390857,1.3685569673609766e-30,True
C48:3 TAG,0.2715579139038026,1.1162271937285682e-16,True
C48:2 TAG,0.4344844617638913,9.754220860581685e-43,True
C48:1 TAG,0.3831754910715523,7.507443090857319e-33,True
C48:0 TAG,0.2726961287186623,8.232451646939287e-17,True
C50:3 TAG,0.39451893285631845,6.858841621416575e-35,True
C50:2 TAG,0.37652397206711197,1.0826886572875858e-31,True
C50:1 TAG,0.35702401224993535,1.9076011748787884e-28,True
C50:0 TAG,0.26884533562720914,2.292699178043032e-16,True
