,transc_r,transc_pval,transc_sig
2-aminoadipate,0.309788800163284,1.4702597008493432e-21,True
3-phosphoglycerate,0.42235473335691953,2.051806950198169e-40,True
alpha-glycerophosphate,0.5772233386289175,1.9400386529138567e-81,True
4-pyridoxate,0.23180250157190982,1.7112550848687325e-12,True
aconitate,0.43068338446472704,4.005877066679064e-42,True
adenine,0.26018422343799785,1.8751808664195237e-15,True
adipate,0.24933769961710214,2.8092345471197897e-14,True
alpha-ketoglutarate,0.3532595440432201,5.820153013726827e-28,True
AMP,0.6167519244173364,7.60267476067176e-96,True
citrate,0.35775754395860254,1.1027862821452755e-28,True
isocitrate,0.3395447685957138,7.884717032081272e-26,True
CMP,0.5929669882465117,6.145044256586993e-87,True
cystathionine,0.4549047633534762,2.248586249728425e-47,True
cytidine,0.5813673399221783,7.401815552880467e-83,True
dCMP,0.5015215860387314,9.478903242849468e-59,True
DHAP/glyceraldehyde 3P,0.4399862782227023,4.325293163381829e-44,True
erythrose-4-phosphate,0.2067894597847574,3.455746629627436e-10,True
F1P/F6P/G1P/G6P,0.4088830791526238,9.496412346798213e-38,True
hexoses (HILIC neg),0.5490606528047656,2.580037592393424e-72,True
fumarate/maleate/alpha-ketoisovalerate,0.2447516195915554,8.492814513132205e-14,True
glucuronate,0.45379168424069755,4.0050395877568756e-47,True
glutathione oxidized,0.4476123154899247,9.497939697821219e-46,True
glutathione reduced,0.44149165282236985,2.0510845941271076e-44,True
GMP,0.4656967584073628,7.45759333825307e-50,True
guanosine,0.4100589951189007,5.619672587108913e-38,True
hippurate,0.4410466112805783,2.5582816347637957e-44,True
hypoxanthine,0.25778616901967527,3.449239041394138e-15,True
inosine,0.32713434783496026,5.44346055401375e-24,True
kynurenine,0.40061054480556385,3.588915929616526e-36,True
lactate,0.41783624790951274,1.6584233437192497e-39,True
lactose,0.4597508626693567,1.776489043349674e-48,True
malate,0.21230812989035588,1.1318749753397638e-10,True
NAD,0.3231647383056041,2.0251893064702888e-23,True
NADP,0.43764280365601943,1.371571412234176e-43,True
oxalate,0.633729020822282,1.0983036439133532e-102,True
pantothenate,0.46328521873141887,2.718590394267654e-49,True
PEP,0.292160651245668,3.005301085780488e-19,True
ribose-5-P/ribulose5-P,0.43277827783033607,1.462688494449463e-42,True
sorbitol,0.5624486939551139,1.5260669947774887e-76,True
succinate/methylmalonate,0.35348257631288577,5.362729262064631e-28,True
sucrose,0.2021590602300192,8.609751853394958e-10,True
thymine,0.18414318825618087,2.451907545913652e-08,True
UMP,0.6330740491267617,2.053849182128708e-102,True
UDP-galactose/UDP-glucose,0.2658051056592311,4.384477307051116e-16,True
uracil,0.5454904332345453,3.2145436318812656e-71,True
urate,0.3912255399153753,1.9557300582574066e-34,True
uridine,0.2664178319576087,3.7342686125084167e-16,True
xanthine,0.626758244550876,7.955145094771006e-100,True
taurocholate,0.10489837578676724,0.0015869763802698774,False
glycodeoxycholate/glycochenodeoxycholate,0.36378067727379165,1.1396143595679402e-29,True
taurodeoxycholate/taurochenodeoxycholate,0.1904310321942712,7.900128557102524e-09,True
phosphocreatine,0.7485575992467028,3.944931327612566e-163,True
3-methyladipate/pimelate,0.38771619161818777,8.439665710147999e-34,True
6-phosphogluconate,0.3573136336007497,1.301091126344742e-28,True
alpha-hydroxybutyrate,0.5327357739790236,2.0651531936760397e-67,True
2-hydroxyglutarate,0.37541182480404434,1.2381820839493049e-31,True
inositol,0.44039936513808375,3.5258236847169545e-44,True
malondialdehyde,0.25845819963032934,2.90954037738579e-15,True
glycine,0.18756873498541884,1.3292989276731739e-08,True
alanine,0.3638744180739567,1.099636732712401e-29,True
serine,0.30064564514985204,2.430156110296486e-20,True
threonine,0.32585111081863716,8.341699456503499e-24,True
methionine,0.5284075325746026,3.7199324337357155e-66,True
aspartate,0.34582959305718797,8.570441499094907e-27,True
glutamate,0.40858986733737246,1.0820105411299994e-37,True
asparagine,0.24181801439557166,1.703250134686573e-13,True
glutamine,0.24457401236550608,8.860583705334366e-14,True
histidine,0.5233166713594861,1.0574958264961606e-64,True
arginine,0.3621466754530967,2.1196507542410322e-29,True
