,transc_r,transc_pval,transc_sig
2-aminoadipate,0.32200551566535385,1.5255877449521424e-23,True
3-phosphoglycerate,0.39069600216629174,8.978106903430106e-35,True
alpha-glycerophosphate,0.49588751490056077,5.109561946973682e-58,True
4-pyridoxate,0.2134804459968789,6.680456651921485e-11,True
aconitate,0.4165432881872843,9.493983253972728e-40,True
adenine,0.2546872613646334,4.991008698914449e-15,True
adipate,0.24637083487653044,3.931711486451071e-14,True
alpha-ketoglutarate,0.35490447945249537,1.4075140173194272e-28,True
AMP,0.6051091223924085,1.3941776197524237e-92,True
citrate,0.3263764255112144,3.541280919888705e-24,True
isocitrate,0.33131796810752123,6.599344735445276e-25,True
CMP,0.5797925351797786,2.1893251014503303e-83,True
cystathionine,0.40068327734495063,1.2090087708363561e-36,True
cytidine,0.5283397627755173,5.423667563633049e-67,True
dCMP,0.5094516588627531,1.1881444413722285e-61,True
DHAP/glyceraldehyde 3P,0.4451801741325345,8.564808280538559e-46,True
erythrose-4-phosphate,0.1733932268675244,1.28681192908522e-07,True
F1P/F6P/G1P/G6P,0.3881500991814689,2.6295402585372e-34,True
hexoses (HILIC neg),0.5371470028546743,1.33819785044739e-69,True
fumarate/maleate/alpha-ketoisovalerate,0.23323414919514274,8.797667261987657e-13,True
glucuronate,0.4413956030902677,5.823571173318501e-45,True
glutathione oxidized,0.44048842946197875,9.187107025017028e-45,True
glutathione reduced,0.4141373720912236,2.879269885881101e-39,True
GMP,0.4455798106526565,6.98549309034634e-46,True
guanosine,0.40686026586087054,7.816145554629082e-38,True
hippurate,0.4404387774103935,9.41885198477073e-45,True
hypoxanthine,0.2826540214052641,2.7469410124746026e-18,True
inosine,0.3293083301906982,1.3117739476483562e-24,True
kynurenine,0.19963433999566046,1.0927482346496322e-09,True
lactate,0.4087909140654788,3.2814624995695717e-38,True
lactose,0.4425341150805157,3.279903765586449e-45,True
malate,0.19234560573337708,4.401119170233796e-09,True
NAD,0.2526782525840868,8.274422653048089e-15,True
NADP,0.41047996837807443,1.5285363896229849e-38,True
oxalate,0.6273624478117004,2.2356685318223044e-101,True
pantothenate,0.3947936476591597,1.5609480527155297e-35,True
PEP,0.31881670551533986,4.3615899232878523e-23,True
ribose-5-P/ribulose5-P,0.4018702363168908,7.174808149169628e-37,True
sorbitol,0.565862714421357,1.1631827405052622e-78,True
succinate/methylmalonate,0.3259859334903738,4.038770088259383e-24,True
sucrose,0.19625648997705875,2.097965997151107e-09,True
thymine,0.17368075141471656,1.2257991759338503e-07,True
UMP,0.5892964758689596,9.622070838550955e-87,True
UDP-galactose/UDP-glucose,0.2564545779120822,3.1875664015688243e-15,True
uracil,0.512172827469626,2.1184493325509337e-62,True
urate,0.40456146023518313,2.1806073194060973e-37,True
uridine,0.13109967905935327,6.904127583720433e-05,True
xanthine,0.616329471961206,6.279603261056577e-97,True
taurocholate,0.09614226509577906,0.0035846902092037778,False
glycodeoxycholate/glycochenodeoxycholate,0.3558057550034056,1.0043032378882587e-28,True
taurodeoxycholate/taurochenodeoxycholate,0.18000887346451172,4.123337976639711e-08,True
phosphocreatine,0.6755847225011593,4.059193919060101e-123,True
3-methyladipate/pimelate,0.4167652460122384,8.566414582341846e-40,True
6-phosphogluconate,0.254639999338513,5.050976361821084e-15,True
alpha-hydroxybutyrate,0.5166302842295675,1.2151008406447601e-63,True
2-hydroxyglutarate,0.4395717481490436,1.4542366267894406e-44,True
inositol,0.36467540840823387,3.418559374247436e-30,True
malondialdehyde,0.2359444381133898,4.703861942089268e-13,True
glycine,0.2369183921778905,3.748967828784414e-13,True
alanine,0.35410086684514686,1.900017749052716e-28,True
serine,0.2780954410189706,9.916395953952558e-18,True
threonine,0.3302565746973193,9.491970813932256e-25,True
methionine,0.5262897131982609,2.1396842865911548e-66,True
aspartate,0.2794195133810922,6.846853761282323e-18,True
glutamate,0.4090700196913361,2.893157647169353e-38,True
asparagine,0.1985443920345338,1.3504307753561998e-09,True
glutamine,0.2165617645381805,3.492231288572873e-11,True
histidine,0.5308138860639795,1.0220517546608355e-67,True
arginine,0.38306271298168526,2.188998476148112e-33,True
lysine,0.5537293689859892,1.004517685571563e-74,True
valine,0.42298296237703537,4.659571625550442e-41,True
leucine,0.5524093441316149,2.6332482347208186e-74,True
isoleucine,0.45270544123085077,1.7616318510521514e-47,True
phenylalanine,0.5204330936437158,1.0253347454942917e-64,True
tyrosine,0.5132660192746799,1.0550299824285114e-62,True
tryptophan,0.4141686779795911,2.838166552743139e-39,True
proline,0.31501009767963617,1.5034185680211562e-22,True
cis/trans-hydroxyproline,0.23942922550540396,2.0789324265947024e-13,True
ornithine,0.18110723950883295,3.399272853362196e-08,True
citrulline,0.37952807714869213,9.336945134860996e-33,True
taurine,0.32040410023014093,2.5895827769254162e-23,True
5-HIAA,0.23427986439329232,6.916029875440207e-13,True
serotonin,0.09427073998842643,0.0042953438557076645,False
GABA,0.456003539483795,3.113357566983192e-48,True
acetylglycine,0.4581421935135854,1.0016657354718348e-48,True
dimethylglycine,0.4178266363779931,5.233892002193803e-40,True
homocysteine,0.2538726445983887,6.129759713861898e-15,True
SDMA/ADMA,0.49881630619914363,8.661816811610454e-59,True
NMMA,0.5673474721285154,3.738329691480761e-79,True
allantoin,0.4902221581808508,1.5075783727129817e-56,True
anthranilic acid,0.3515771499406666,4.847756120028203e-28,True
kynurenic acid,0.6035720098367113,5.3249442557671694e-92,True
5-adenosylhomocysteine,0.35297651160243926,2.8869644142465333e-28,True
carnosine,0.5395685136040134,2.4883930183015826e-70,True
N-carbamoyl-beta-alanine,0.590162707165937,4.696044529907935e-87,True
thiamine,0.47870746605375003,1.2082050557875707e-53,True
niacinamide,0.2726898501401097,4.406194765119378e-17,True
betaine,0.3531886944971099,2.66815499376622e-28,True
choline,0.23631504274671722,4.315282898489511e-13,True
alpha-glycerophosphocholine,0.35300927839463,2.852049344961691e-28,True
acetylcholine,0.22616965824197377,4.337530834234788e-12,True
creatine,0.529201159551785,3.038214396576207e-67,True
creatinine,0.5674021508513362,3.5848852381147894e-79,True
thyroxine,0.4196306984986015,2.256136504081938e-40,True
trimethylamine-N-oxide,0.4315780789242454,7.521049906317363e-43,True
hexoses (HILIC pos),0.43153368914820645,7.685410950575634e-43,True
adenosine,0.24946118047123422,1.8420916089112244e-14,True
thymidine,0.3204690096803126,2.5347939181509705e-23,True
xanthosine,0.4200948094822663,1.815463100285907e-40,True
2-deoxyadenosine,0.3745450771290254,7.001987041531276e-32,True
2-deoxycytidine,0.5441847387919525,9.695091954656375e-72,True
cAMP,0.3166261379972928,8.909794566678081e-23,True
cotinine,0.35531098172610015,1.2089150168234022e-28,True
pipecolic acid,0.10924471760713872,0.0009271541868510494,False
pyroglutamic acid,0.46964806860894154,1.950899594921349e-51,True
1-methylnicotinamide,0.7610823854563221,5.251666141728787e-174,True
butyrobetaine,0.3774392127467028,2.182047256426736e-32,True
