,2-aminoadipate,3-phosphoglycerate,alpha-glycerophosphate,4-pyridoxate,aconitate,adenine,adipate,alpha-ketoglutarate,AMP,citrate,isocitrate,CMP,cystathionine,cytidine,dCMP,DHAP/glyceraldehyde 3P,erythrose-4-phosphate,F1P/F6P/G1P/G6P,hexoses (HILIC neg),fumarate/maleate/alpha-ketoisovalerate,glucuronate,glutathione oxidized,glutathione reduced,GMP,guanosine,hippurate,hypoxanthine,inosine,kynurenine,lactate,lactose,malate,NAD,NADP,oxalate,pantothenate,PEP,ribose-5-P/ribulose5-P,sorbitol,succinate/methylmalonate,sucrose,thymine,UMP,UDP-galactose/UDP-glucose,uracil,urate,uridine,xanthine,taurocholate,glycodeoxycholate/glycochenodeoxycholate,taurodeoxycholate/taurochenodeoxycholate,phosphocreatine,3-methyladipate/pimelate,6-phosphogluconate,alpha-hydroxybutyrate,2-hydroxyglutarate,inositol,malondialdehyde,glycine,alanine,serine,threonine,methionine,aspartate,glutamate,asparagine,glutamine,histidine,arginine,lysine,valine,leucine,isoleucine,phenylalanine,tyrosine,tryptophan,proline,cis/trans-hydroxyproline,ornithine,citrulline,taurine,5-HIAA,serotonin,GABA,acetylglycine,dimethylglycine,homocysteine,SDMA/ADMA,NMMA,allantoin,anthranilic acid,kynurenic acid,5-adenosylhomocysteine,carnosine,N-carbamoyl-beta-alanine,thiamine,niacinamide,betaine,choline,alpha-glycerophosphocholine,acetylcholine,creatine,creatinine,thyroxine,trimethylamine-N-oxide,hexoses (HILIC pos),adenosine,thymidine,xanthosine,2-deoxyadenosine,2-deoxycytidine,cAMP,cotinine,pipecolic acid,pyroglutamic acid,1-methylnicotinamide,butyrobetaine,putrescine,methionine sulfoxide,carnitine,acetylcarnitine,propionylcarnitine,malonylcarnitine,butyrylcarnitine/isobutyrylcarnitine,valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,hexanoylcarnitine,heptanoylcarnitine,lauroylcarnitine,myristoylcarnitine,palmitoylcarnitine,stearoylcarnitine,oleylcarnitine,arachidonyl_carnitine,sarcosine,beta-alanine,anserine,C14:0 LPC,C16:1 LPC,C16:0 LPC,C18:2 LPC,C18:1 LPC,C18:0 LPC,C20:4 LPC,C20:3 LPC,C22:6 LPC,C16:0 LPE,C18:1 LPE,C18:0 LPE,C20:4 LPE,C22:6 LPE,C32:2 PC,C32:1 PC,C32:0 PC,C34:4 PC,C34:3 PC,C34:2 PC,C34:1 PC,C36:4 PC-A,C36:4 PC-B,C36:3 PC,C36:2 PC,C36:1 PC,C38:6 PC,C38:5 PC,C38:4 PC,C38:2 PC,C40:6 PC,C14:0 SM,C16:1 SM,C16:0 SM,C18:2 SM,C18:1 SM,C18:0 SM,C22:1 SM,C22:0 SM,C24:1 SM,C24:0 SM,C34:2 DAG,C34:1 DAG,C36:2 DAG,C36:1 DAG,C14:0 CE,C16:1 CE,C16:0 CE,C18:3 CE,C18:2 CE,C18:1 CE,C18:0 CE,C20:5 CE,C20:4 CE,C20:3 CE,C22:6 CE,C46:2 TAG,C46:1 TAG,C46:0 TAG,C48:3 TAG,C48:2 TAG,C48:1 TAG,C48:0 TAG,C50:3 TAG,C50:2 TAG,C50:1 TAG,C50:0 TAG,C52:5 TAG,C52:4 TAG,C52:3 TAG,C52:2 TAG,C52:1 TAG,C54:7 TAG,C54:6 TAG,C54:5 TAG,C54:4 TAG,C54:3 TAG,C54:2 TAG,C54:1 TAG,C56:8 TAG,C56:7 TAG,C56:6 TAG,C56:5 TAG,C56:4 TAG,C56:3 TAG,C56:2 TAG,C58:8 TAG,C58:7 TAG,C58:6 TAG
0,TSC2,YAP1,YAP1,YAP1,YAP1,RB,YAP1,YAP1,YAP1,YAP1,GYS1,YAP1,NDRG1,YAP1,YAP1,YAP1,SRC,YAP1,YAP1,MYO1A,YAP1,YAP1,PLCG2,YAP1,RAF1,YAP1,YAP1,YAP1,ESR1,YAP1,YAP1,MYO1A,PRKCA,PEA15,YAP1,MAP2K1,BCATENIN,YAP1,YAP1,YAP1,ELK1,MAPK,YAP1,PRKCA,YAP1,YAP1,ERBB3,YAP1,TSC2,YAP1,ERALPHA,YAP1,YAP1,RAF1,YAP1,MYO1A,BCATENIN,RB,CHEK1,ESR1,BCATENIN,YAP1,YAP1,FOXO3,BAD,SMAD3,RB1,YAP1,YAP1,YAP1,YAP1,YAP1,YAP1,YAP1,YAP1,YAP1,PRKCA,MAP2K1,YAP1,YAP1,ESR1,YAP1,FOXO3,PDPK1,YAP1,YAP1,ACC,YAP1,YAP1,YAP1,RPS6KB1,YAP1,YAP1,YAP1,MYO1A,YAP1,ERALPHA,GSK3ALPHABETA,EPHA2,PTK2,RAF1,YAP1,YAP1,YAP1,YAP1,YAP1,TSC2,YAP1,YAP1,FOXO3,TSC2,YAP1,YAP1,BCATENIN,YAP1,YAP1,ESR1,ERBB3,YAP1,YAP1,YAP1,YAP1,YAP1,ERALPHA,ERBB3,ERBB2,YAP1,PRKCA,ERBB2,ERBB2,ERBB2,ERBB2,YAP1,NFKBP65,ATR,YAP1,YAP1,EPHA2,RAF1,YAP1,YAP1,PEA15,YAP1,BAD,YAP1,MYO1A,YAP1,YAP1,YAP1,YAP1,PLCG2,PLCG2,YAP1,EPHA2,EPHA2,PLCG2,YAP1,YAP1,YAP1,YAP1,PLCG2,YAP1,YAP1,YAP1,YAP1,ERBB3,YAP1,ACC,YAP1,PLCG2,YAP1,MAP2K1,ARAF,YAP1,PLCG2,MAPK,FOXO3,MTOR,YAP1,ESR1,YAP1,BRAF,YAP1,YAP1,YAP1,YAP1,YAP1,YAP1,YAP1,YAP1,YAP1,YAP1,PRKCA,YAP1,YAP1,EPHA2,PRKCA,YAP1,BAD,EPHA2,BAD,BAD,YAP1,YAP1,YAP1,EPHA2,BRAF,YAP1,YAP1,YAP1,YAP1,YAP1,SRC,YAP1,YAP1,YAP1,YAP1,YAP1,YAP1,YAP1,RB,YAP1,YAP1,YAP1,YAP1
1,MAP2K1,AKT1,BRAF,ERBB3,PRKCA,YAP1,ESR1,PRKCA,PRKCA,ERBB3,PRKCA,MAPK8,ERALPHA,MAPK,NDRG1,MYO1A,MYO1A,MYO1A,RB,EIF4EBP1,SRC,MYO1A,PRKCA,RB,MAP2K1,RB,ERALPHA,AKT1,MYO1A,P27,ELK1,AKT1,PLCG2,ERBB3,RICTOR,ERBB3,ACC,S6,PRKCA,ERBB3,YAP1,PKCPANBETAII,ERBB2,ERBB3,EPHA2,RB,ATR,ACC,MAPK,PDPK1,PRKCA,PRKCA,ERBB3,PDPK1,NFKBP65,HSPB1,EGFR,CHEK2,MYO1A,ERBB3,MYO1A,BRAF,SRC,AKT1,ERBB2,GSK3ALPHABETA,YAP1,EZR,ERALPHA,RB,ERALPHA,SRC,SRC,ERALPHA,BRAF,ERBB2,ACC,YAP1,P27,PRKCA,PRKCA,EGFR,ACC,PTK2,MET,S6,BCATENIN,BCATENIN,BCATENIN,BCATENIN,RICTOR,PRKCA,RB1,RB,BCATENIN,BRAF,SRC,YAP1,MAPK,ESR1,YAP1,MYO1A,PRKCA,BRAF,ATR,RB,BAD,SHC1,ERALPHA,PKCPANBETAII,NDRG1,ATR,RB,ACC,GSK3,MYO1A,YAP1,EPHA2,MAP2K1,NDRG1,ERBB3,MAPK14,MYO1A,MAP2K1,YAP1,ARAF,ERBB2,ERBB2,PRKCA,PRKCA,SRC,ACC,MAP2K1,ESR1,PRKCA,PRKCA,ERBB3,STAT3,BAD,RICTOR,BRAF,CHEK2,ELK1,STAT3,BRAF,YAP1,STAT3,RICTOR,GYS1,PTK2,STK11,EPHA2,ERBB3,YAP1,PDPK1,ERBB2,PLCG2,SHC1,PRKCA,ERBB3,ESR1,PLCG2,PRKCA,PRKCA,PRKCA,P27,PRKCA,MAP2K1,BRAF,SHC1,RB,BLNK,MAP2K1,PLCG2,ESR1,MYO1A,MYO1A,AKT1S1,JUN,STAT3,ACC,YBX1,STAT3,STAT3,ERBB2,STAT3,STAT3,MAPK8,BRAF,ERBB2,STAT3,PRKCA,YAP1,BRAF,BAD,PRKCA,MYO1A,BRAF,MYO1A,PRKCA,MYO1A,BRAF,BAD,BRAF,BRAF,ACC,YAP1,BRAF,BCATENIN,RB,BCATENIN,BRAF,EPHA2,RB,BCATENIN,MTOR,RB,RB,BCATENIN,MYO1A,ERBB3,MAPK,RB,ERBB2,RB
2,PRKCA,PDPK1,ERALPHA,BAD,GYS1,ERALPHA,PKCPANBETAII,ESR1,ERBB2,PRKCA,STAT5,BRAF,BRAF,JUN,MAPK,RPS6KB1,AKT1,ESR1,ACC,RB,BCATENIN,PLCG2,BAD,BRAF,RPS6KB1,RB1,NFKBP65,RAF1,AKT1,BRAF,RICTOR,ERALPHA,ESR1,MAPK,MTOR,NFKBP65,GYS1,MYO1A,RB1,BRAF,RICTOR,MAP2K1,RB1,PLCG2,PRKCA,JUN,JUN,MTOR,ERBB2,JUN,IGF1R,MYO1A,GSK3,FOXO3,MTOR,S6,MTOR,AKT1,GSK3,S6,NFKBP65,GSK3ALPHABETA,RB,ERALPHA,EGFR,AKT1,MAPK,MAPK,RICTOR,ERALPHA,BRAF,BAD,IGF1R,BRAF,ERALPHA,S6,BRAF,ACC,BCATENIN,ERBB2,GSK3ALPHABETA,GSK3ALPHABETA,MAPK8,TSC2,JUN,ERBB2,ERALPHA,RICTOR,RICTOR,ESR1,ERALPHA,RB,GSK3,ACC,YBX1,SRC,CHEK2,YBX1,AKT1S1,AKT1,MAPK14,ESR1,BCATENIN,BCATENIN,MTOR,EIF4EBP1,MYO1A,MAPK,RB,YAP1,ARAF,RAF1,TSC2,RAF1,MTOR,PRKCA,IGF1R,RPS6KB1,SRC,ESR1,RB,MYO1A,ERBB3,IGF1R,P27,ERBB3,RB,PLK1,ACC,ACC,ERALPHA,PRKCA,EPHA2,P27,PDPK1,BAD,MAPK,RAF1,CHEK2,RAF1,RAF1,BAD,PLCG2,ERBB3,MAPK,ERALPHA,BAD,PRKCA,FOXO3,STAT3,EPHA2,YAP1,PLCG2,YBX1,ACC,BAD,RB,GSK3,BRAF,PTK2,YAP1,RB,S6,MTOR,MTOR,FOXO3,AKT1,PLCG2,AKT1S1,NDRG1,ESR1,TSC2,NFKBP65,TSC2,BAD,FOXO3,ERALPHA,GSK3ALPHABETA,CHEK2,IGF1R,MTOR,YAP1,ERBB2,RPS6KB1,ACC,ERBB2,MAPK8,RPS6KB1,STAT3,STAT3,BRAF,TSC2,ERBB2,MYO1A,ERBB2,ATR,YAP1,BAD,YAP1,ACC,PRKCA,YAP1,STAT3,PRKCA,EPHA2,SRC,ACC,BAD,SRC,BRAF,P27,SRC,RB,BAD,BAD,FOXO3,SRC,MYO1A,RB,TSC2,YAP1,ACC,SRC,BCATENIN,NFKBP65
3,FOXO3,SRC,BCATENIN,SRC,EIF4EBP1,AKT1,RAF1,BAD,BCATENIN,GYS1,YAP1,RB,TSC2,GSK3ALPHABETA,ESR1,EIF4EBP1,YAP1,BCATENIN,RB1,YAP1,NFKBP65,FOXO3,ERBB3,P27,AKT1,BCATENIN,BRAF,ERBB2,MAPK,YBX1,ESR1,STAT3,ERBB3,CHEK1,MDM2,BRAF,MYO1A,ESR1,PTPN11,ESR1,ESR1,EPHA2,PRKCA,BAD,MAPK14,PRKCA,AKT1S1,ESR1,CHEK1,AMPK,MYO1A,PKCPANBETAII,RB,PKCPANBETAII,AKT1S1,ARAF,ATR,P27,PKCPANBETAII,MTOR,IGF1R,JUN,EPHA2,AKT1S1,ERALPHA,ERALPHA,RB,EIF4EBP1,PLCG1,RB1,STAT3,ESR1,BCATENIN,EIF2A,S6,ARAF,BAD,PEA15,PLCG1,ELK1,RB,CFL1,RAF1,NFKBP65,NFKBP65,RB1,ESR1,RPS6KB1,MTOR,PRKCA,EIF4EBP1,ESR1,ARAF,BCATENIN,MDM2,PRKCA,MYO1A,ESR1,MET,EIF4EBP1,PRKCA,BAD,RICTOR,BAD,RICTOR,MYO1A,S6,EIF4EBP1,S6,BRAF,GSK3ALPHABETA,ERBB3,MAP2K1,ERBB3,S6,ERALPHA,ERBB3,BAD,EZR,YBX1,IGF1R,RAF1,RB,BCATENIN,ESR1,PDPK1,PRKCA,ERBB3,SRC,SRC,ACC,S6,AMPK,MET,ESR1,NFKBP65,RICTOR,BAD,SHC1,MTOR,STAT3,RAF1,PRKCA,MAPK14,NFKBP65,PEA15,PEA15,MTOR,EPHA2,S6,MYO1A,ERBB2,ERBB2,GSK3,MYO1A,ESR1,AMPK,PRKCA,GSK3ALPHABETA,PLCG2,RB,BCATENIN,GSK3,ACC,STAT3,TSC2,EPHA2,RB,JUN,AKT1,STAT3,NFKBP65,RPS6KA1,PRKCA,AKT1,ACC,JUN,HISTONEH3,MYO1A,EPHA2,ERBB2,NDRG1,RB,MAPK,STAT3,ACC,P27,P27,TSC2,P27,PRKCA,JUN,ATR,BAD,BRAF,ACC,BRAF,MYO1A,BRAF,ERBB2,ACC,MYO1A,BRAF,BCATENIN,MYO1A,MYO1A,BAD,CHEK1,RB,PRKCA,BRAF,MYO1A,ACC,BRAF,NFKBP65,EIF4EBP1,PRKCA,SRC,MTOR,MTOR,ER,BAD,NFKBP65,NFKBP65,SRC
4,MAPK,ESR1,ESR1,BRAF,ERBB3,SRC,GSK3ALPHABETA,AKT1,PLCG2,P27,MAPK,MAPK,MET,FOXO3,MTOR,PRKCA,STK11,SRC,FOXO3,ERALPHA,S6,P27,ESR1,BCATENIN,S6,PRKCA,AKT1S1,ESR1,YAP1,PRKCA,BRAF,MAPK8,EZR,SRC,CHEK2,YAP1,YAP1,CHEK2,RB,EIF2A,EIF4EBP1,MAPK14,BAD,ESR1,SRC,ERALPHA,YAP1,ERBB2,NFKBP65,EIF4EBP1,AKT1S1,RB,MAPK,MAP2K1,SRC,SRC,IGF1R,ATR,RPS6KB1,IGF1R,EIF4EBP1,NFKBP65,S6,PRKCA,ESR1,MAPK,PTPN11,ERBB3,EPHA2,BRAF,MAPK,BRAF,EPHA2,STAT3,PRKCA,PTK2,MAPK14,GSK3ALPHABETA,AMPK,EIF4EBP1,YAP1,AKT1S1,SRC,YBX1,ACC,NDRG1,YAP1,ESR1,RPS6KB1,RICTOR,STAT3,BCATENIN,ERALPHA,ERBB2,PRKCA,RB,ATR,RPS6KB1,NFKBP65,ERBB3,BAD,RAF1,ESR1,ERBB2,SRC,ESR1,PRKCA,MET,PRKCA,ARAF,P27,BLNK,ERALPHA,PRKCA,SRC,PDPK1,AKT1S1,MAPK,CHEK1,RB,ESR1,GSK3ALPHABETA,ERBB2,AKT1S1,NFKBP65,YBX1,AKT1,ACC,SHC1,YAP1,NDRG1,ATR,MET,NDRG1,BAD,RB1,PRKCA,ACC,STAT3,ERBB3,RICTOR,MAPK14,P27,CHEK2,PRKCA,BRAF,MYO1A,EIF4EBP1,BCATENIN,MTOR,RB,JUN,ERALPHA,PDPK1,NDRG1,EPHA2,BAD,STAT3,MTOR,STAT3,BAD,ERBB3,JUN,PKCPANBETAII,TSC2,ESR1,STAT3,NFKBP65,NFKBP65,ACC,RPS6KA1,IGF1R,RB,EPHA2,JUN,BAD,PDPK1,AKT1,ACC,YAP1,MET,CHEK1,ACC,ERBB2,ERBB3,ATR,ERBB2,MET,EPHA2,EPHA2,BAD,BRAF,EPHA2,ERBB2,STAT3,BAD,ACC,ACC,ERALPHA,YAP1,BRAF,ACC,ESR1,MAPK,IGF1R,PRKCA,EIF4EBP1,MAP2K1,BRAF,SRC,SRC,EIF4EBP1,EIF4EBP1,ACC,STAT3,ERBB3,BCATENIN,PRKCA,BAD,SRC,EPHA2,RB,PRKCA,RB,BCATENIN
5,GSK3,S6,ACC,GYS1,ATM,BAD,MAP2K1,ERBB2,ESR1,MAPK,ERBB3,RPS6KB1,EIF4EBP1,BRAF,FOXO3,PDPK1,CHEK1,ERBB3,ESR1,MTOR,ESR1,SRC,YAP1,MAPK14,SHC1,MAPK8,S6,NFKBP65,CHEK2,S6,EIF4EBP1,PRKCA,GSK3,ERBB2,MAPK14,EIF4EBP1,PDPK1,EIF4EBP1,ACC,AKT1,MAP2K1,CHEK2,MAPK,AKT1,MTOR,SGK1,STAT3,PRKCA,AKT1,MAP2K1,YBX1,ACC,PRKCA,AKT1,RB,P27,NFKBP65,MAPK14,BRAF,YAP1,BRAF,S6,BAD,MET,MYO1A,BAD,SRC,BETACATENIN,FOXO3,MAPK,ERBB2,EPHA2,CFL1,S6,ERBB2,STAT3,YBX1,FOXO3,S6,BRAF,BRAF,MAPK,AKT1S1,SRC,PTPN11,BAD,BRAF,PTK2,ESR1,ERBB2,MET,ATR,NDRG1,PRKCA,BRAF,STAT3,BAD,RPS6KA1,ESR1,ERBB2,AKT1,PRKCA,ERBB2,AMPK,MET,ACC,MAPK,ACC,PDPK1,PRKCA,RB,PRKCA,SRC,PDPK1,ERALPHA,GSK3ALPHABETA,RB,AKT1S1,ATR,AKT1,ARAF,PRKCA,ARAF,PDPK1,ACC,EGFR,MAPK,ATR,YAP1,NDRG1,PRKCA,SRC,MTOR,PEA15,BRAF,MAPK14,SHC1,CHEK2,ERBB2,MAPK,MAPK14,STAT3,SHC1,PEA15,TSC2,PRKCA,ERBB2,BCATENIN,SRC,SRC,YBX1,PRKCA,PDPK1,GSK3ALPHABETA,ERBB2,PRKCA,STAT3,RB1,S6,EPHA2,AKT1,JUN,MTOR,SRC,S6,ACC,ESR1,TSC2,MAPK8,ERBB2,SRC,GSK3,ACC,ERBB2,RB,P27,SHC1,SRC,MTOR,JUN,EIF4EBP1,PTPN11,BRAF,TSC2,ATR,ERBB3,MTOR,BRAF,ERBB3,ACC,TSC2,ACC,BRAF,ACC,ERALPHA,MYO1A,EPHA2,PRKCA,PRKCA,MYO1A,YAP1,CHEK2,ACC,ERALPHA,PRKCA,BCATENIN,MYO1A,NFKBP65,MAPK,MAPK,RB,TSC2,PDPK1,AKT1,SRC,PRKCA,MAPK,BCATENIN,PRKCA,BAD,ERALPHA,ERALPHA,JUN,S6,MTOR
6,S6,AMPK,ATM,CHEK2,SHC1,JUN,NDRG1,MTOR,BRAF,AMPK,EIF4EBP1,ARAF,YAP1,SHC1,ERBB3,ERALPHA,KIT,NFKBP65,MYO1A,ACC,PDPK1,GSK3,SRC,RB1,MAPK,NFKBP65,RB,S6,EIF4EBP1,AKT1,ACC,P27,ATR,BAD,CFL1,SRC,RB,RB,MYO1A,CHEK2,MAPK,FOXO3,BCATENIN,MYO1A,ACC,BAD,BRAF,MET,FOXO3,ACC,PKCPANBETAII,P27,AMPK,CHEK2,GYS1,PEA15,STAT3,NDRG1,ATR,BRAF,MAPK14,MAPK,EIF2A,GSK3ALPHABETA,RPS6KB1,GSK3,STAT3,MTOR,ACC,ACC,ACC,RICTOR,BRAF,ERBB2,BAD,AKT1,GSK3ALPHABETA,IGF1R,TSC2,S6,PDPK1,MAP2K1,AKT1,ERALPHA,MAP2K1,BCATENIN,MAPK,MAPK8,PRKCA,MTOR,MYO1A,RB1,AKT1,BRAF,JUN,MYO1A,PEA15,ERBB3,BRAF,RAF1,GSK3,ERBB3,ACC,RB1,PRKCA,GSK3,ESR1,AKT1,ACC,MAPK14,PKCPANBETAII,BRAF,MAPK,BAD,MYO1A,RICTOR,ACC,MTOR,BETACATENIN,MYO1A,PRKCA,AKT1S1,WWTR1,RPS6KB1,ERBB2,MYO1A,PKCPANBETAII,FOXO3,ERALPHA,CHEK2,EPHA2,ATM,SRC,MAPK,EPHA2,SHC1,CHEK2,ERBB2,PEA15,AMPK,PRKCA,BRAF,PDPK1,MET,GYS1,CHEK2,RAF1,ARAF,RB1,BCATENIN,RAF1,ERALPHA,ACC,ERBB3,FOXO3,PDPK1,GSK3,EPHA2,TSC2,MTOR,ACC,EIF4EBP1,AKT1,JUN,ERBB3,MYO1A,ACC,PDPK1,AMPK,TSC2,MTOR,AKT1,ERBB3,STAT3,BCATENIN,ERBB3,MAPK14,PRKCA,TSC2,P27,RPS6KB1,STAT3,ERBB3,MAPK8,BRAF,RB,BAD,RB,PRKCA,ERBB3,MYO1A,SRC,ACC,ATR,PRKCA,YAP1,BAD,CHEK2,MAP2K1,BRAF,EPHA2,ERALPHA,MYO1A,EPHA2,TSC2,BRAF,PLCG2,STAT3,FOXO3,MYO1A,EGFR,BCATENIN,MYO1A,SRC,ESR1,RB,AKT1S1,NFKBP65,SRC,ERALPHA,ACC,GSK3,BCATENIN,NDRG1,PRKCA
7,BAD,EPHA2,CHEK1,FOXO3,MYO1A,RPS6KB1,AKT1S1,TSC2,RB,PTK2,JUN,TSC2,MYO1A,ERBB3,MAP2K1,AKT1S1,EPHA2,PKCPANBETAII,ERBB2,STAT3,NOS3,EZR,PDPK1,AMPK,YAP1,JUN,MET,MAPK,BRAF,BAD,SHC1,AKT1S1,BCATENIN,MAP2K1,PRKCA,S6,AKT1,SRC,BRAF,NDRG1,RET,MET,BRAF,EZR,NFKBP65,ELK1,GSK3,S6,ERALPHA,BCATENIN,RB,NFKBP65,RB1,TSC2,PDPK1,RB,BAD,PRKCA,BAD,PEA15,MDM2,SRC,PTPN11,ERBB3,ACC,RAF1,CHEK1,BRAF,SRC,ERBB2,AMPK,RPS6KB1,ATR,YBX1,ESR1,ERALPHA,ERBB2,P27,CFL1,FOXO3,ERBB3,PDPK1,JUN,ERBB3,AKT1S1,ESR1,MAPK14,PRKCA,NFKBP65,ACC,GSK3ALPHABETA,ERBB2,MYO1A,ESR1,STAT3,YBX1,S6,S6,GYS1,FOXO3,STAT3,RB,SRC,SRC,CHEK1,TSC2,ERBB3,CHEK1,BRAF,MAPK,ERALPHA,ARAF,NDRG1,ATM,RB,ACC,STAT3,CHEK2,EIF4EBP1,ACC,YBX1,NFKBP65,SHC1,PKCPANBETAII,MAPK,ATR,ERBB3,ARAF,ATR,BRAF,YAP1,NDRG1,BRAF,TSC2,YAP1,RB,GSK3ALPHABETA,NDRG1,BRAF,SRC,PLCG2,ERBB3,RAF1,NFKBP65,RB1,STAT3,MET,JUN,RICTOR,MET,ATR,AMPK,MAP2K1,MAP2K1,GSK3ALPHABETA,AKT1,RB1,BCATENIN,GYS1,ACC,ERBB3,ACC,STAT3,STAT3,GYS1,BAD,ERBB3,SGK1,MET,NFKBP65,MYO1A,PKCPANBETAII,AKT1,ESR1,ERBB3,PKCPANBETAII,TSC2,ERBB3,MDM2,PKCPANBETAII,TSC2,GYS1,ATR,BAD,MAPK8,P27,RPS6KB1,ERALPHA,ERBB2,MTOR,ACC,RET,BAD,PRKCA,ATR,ERBB3,ERBB2,ERALPHA,STAT3,ATR,EIF4EBP1,RB,ERBB3,AKT1,SRC,IGF1R,GSK3,AKT1,NDRG1,NDRG1,PRKCA,EPHA2,RPS6KB1,ERALPHA,GSK3ALPHABETA,MAP2K1,BRAF,NDRG1,MYO1A,PRKCA,MYO1A,ESR1,NDRG1,MTOR,SHC1
8,SRC,ERBB2,MAPK,RB,ESR1,PKCPANBETAII,TSC2,IRS1,ERALPHA,EIF4EBP1,MAP2K1,IGF1R,GSK3ALPHABETA,MAP2K1,EIF4EBP1,ATR,ERBB3,CHEK1,BCATENIN,S6,MTOR,PRKCA,BRAF,MYO1A,TSC2,PTK2,PDPK1,PDPK1,RB,ESR1,BAD,ACC,ERALPHA,BRAF,MAP2K1,ESR1,TSC2,RPS6KB1,MAPK8,SHC1,WWTR1,GYS1,STAT3,SHC1,STAT3,ERBB2,MAP2K1,ERALPHA,H2AX,NFKBP65,RICTOR,RICTOR,RICTOR,STAT3,STAT3,MAPK,FOXO3,MAPK8,YAP1,RB,CHEK1,ERALPHA,ERALPHA,JUN,ERBB3,ACC,AKT1S1,RB1,ERBB2,PRKCA,BAD,CFL1,BAD,BAD,ATR,BRAF,ESR1,CHEK1,MAPK14,ERBB3,SHC1,ACC,RPS6KB1,STAT3,MAPK,RB,ERBB3,MTOR,S6,ELK1,ERBB2,MTOR,RAF1,RPS6KB1,MTOR,PKCPANBETAII,PRKCA,BRAF,GSK3,AMPK,MET,S6,CHEK1,NFKBP65,MAPK8,PKCPANBETAII,PKCPANBETAII,CHEK2,MTOR,ERALPHA,BRAF,RPS6KB1,ARAF,TSC2,ERBB2,NFKBP65,PRKCA,GSK3ALPHABETA,BRAF,MTOR,H2AX,BRAF,PRKCA,BAD,AMPK,ACC,MAPK14,AMPK,BRAF,ATR,MTOR,PKCPANBETAII,BCATENIN,PKCPANBETAII,RB,YBX1,PDPK1,ATR,S6,EIF4EBP1,ERBB3,GSK3,EPHA2,MAP2K1,MYO1A,RICTOR,SRC,CHEK2,CHEK1,MAPK,GSK3ALPHABETA,BCATENIN,MTOR,ERALPHA,ATR,JUN,PDPK1,MYO1A,ERBB3,P27,P27,MAP2K1,MAP2K1,TSC2,ERBB2,STAT3,ERBB2,JUN,YBX1,MAPK,IGF1R,YAP1,MTOR,S6,ATR,PDPK1,NFKBP65,P27,ERBB2,RB,P27,MAPK8,MAPK8,BRAF,MYO1A,BCATENIN,MET,ATR,ACC,SRC,MAPK,P27,MYO1A,MTOR,MAP2K1,BRAF,ATR,MTOR,ACC,BAD,ERALPHA,YBX1,RICTOR,MDM2,ACC,ATR,ERALPHA,ERALPHA,ERBB2,ERALPHA,IGF1R,IGF1R,BAD,MAPK,ERBB3,ATR,MYO1A,GYS1,ERALPHA,ERBB3,RPS6KB1,ERBB2,AKT1S1,TSC2,BAD
9,JUN,BCATENIN,RB,TSC2,MAPK8,PDPK1,RB1,RAF1,GSK3,ERALPHA,PTK2,JUN,MAP2K1,MAPK8,MAPK14,CHEK2,MAP2K1,PDPK1,EIF4EBP1,P27,ERBB2,MAP2K1,MYO1A,NDRG1,JUN,MTOR,AKT1,ELK1,AKT1S1,NFKBP65,GYS1,S6,NFKBP65,ERALPHA,MYO1A,STAT3,JUN,MAPK14,H2AX,MTOR,RB,MYO1A,NDRG1,P27,RPS6KB1,ESR1,P27,NFKBP65,BRAF,ERBB2,STAT3,MAPK,GYS1,MTOR,RAF1,JUN,BRAF,BAD,ACC,P27,YAP1,MAP2K1,BRAF,PDPK1,TSC2,S6,MTOR,BAD,P27,FOXO3,RB,ERALPHA,ESR1,ATR,CFL1,EPHA2,S6,BRAF,FOXO3,NDRG1,STAT3,S6,BAD,EPHA2,RB,BRAF,YBX1,S6,ACC,EPHA2,CHEK2,BRAF,IGF1R,RB1,NFKBP65,ARAF,GSK3,BAD,MDM2,GSK3,JUN,PEA15,S6,ATM,MYO1A,AMPK,YBX1,NFKBP65,RB1,GSK3,MAPK14,RB1,FOXO3,RB,RPS6KB1,JUN,RAF1,MAPK8,AMPK,JUN,BRAF,RET,YBX1,STAT3,PKCPANBETAII,AMPK,PRKCD,SRC,CHEK2,ERALPHA,MYO1A,MTOR,ERBB2,BAD,RB1,MAPK,BRAF,MET,P27,P27,YBX1,SHC1,MAPK14,PRKCA,PLCG2,ERBB3,ERALPHA,BAD,MAPK8,ERALPHA,ESR1,MTOR,STAT3,MYO1A,SHC1,AMPK,ESR1,ACC,MAPK14,JUN,AKT1S1,RB1,ACC,ESR1,ESR1,MAPK,RB,MDM2,PDPK1,BAD,ERALPHA,AKT1S1,GSK3ALPHABETA,JUN,ERBB2,ATM,PEA15,FOXO3,PRKCA,SRC,PDPK1,ACC,SHC1,ERBB3,RB,GSK3,YBX1,PTPN11,MAPK,BRAF,SHC1,RPS6KB1,MTOR,ERBB3,ACC,ERBB2,ERALPHA,ERBB3,PDPK1,SRC,SRC,PRKCA,NFKBP65,SRC,BCATENIN,RB,RB,ACC,GSK3ALPHABETA,JUN,STAT3,MTOR,ERALPHA,EIF4EBP1,MAPK,S6,BAD,RPS6KB1,NFKBP65,NFKBP65,BAD,RB1,PDPK1,CHEK1,MYO1A
